N,n_steps,n_analyze,flip_perc
100,150000,5000,0.1

Temp,E_mean,E_std,M_mean,M_std
0.0,-2.0,0.0,1.0,0.0
0.005,-2.0,0.0,1.0,0.0
0.01,-2.0,0.0,1.0,0.0
0.015,-2.0,0.0,1.0,0.0
0.02,-2.0,0.0,1.0,0.0
0.025,-2.0,0.0,1.0,0.0
0.03,-2.0,0.0,1.0,0.0
0.035,-2.0,0.0,1.0,0.0
0.04,-2.0,0.0,1.0,0.0
0.045,-2.0,0.0,1.0,0.0
0.05,-2.0,0.0,1.0,0.0
0.055,-2.0,0.0,1.0,0.0
0.06,-2.0,0.0,1.0,0.0
0.065,-2.0,0.0,1.0,0.0
0.07,-2.0,0.0,1.0,0.0
0.075,-2.0,0.0,1.0,0.0
0.08,-2.0,0.0,1.0,0.0
0.085,-2.0,0.0,1.0,0.0
0.09,-2.0,0.0,1.0,0.0
0.095,-2.0,0.0,1.0,0.0
0.1,-2.0,0.0,1.0,0.0
0.105,-2.0,0.0,1.0,0.0
0.11,-2.0,0.0,1.0,0.0
0.115,-2.0,0.0,1.0,0.0
0.12,-2.0,0.0,1.0,0.0
0.125,-2.0,0.0,1.0,0.0
0.13,-2.0,0.0,1.0,0.0
0.135,-2.0,0.0,1.0,0.0
0.14,-2.0,0.0,1.0,0.0
0.145,-2.0,0.0,1.0,0.0
0.15,-2.0,0.0,1.0,0.0
0.155,-2.0,0.0,1.0,0.0
0.16,-2.0,0.0,1.0,0.0
0.165,-2.0,0.0,1.0,0.0
0.17,-2.0,0.0,1.0,0.0
0.17500000000000002,-2.0,0.0,1.0,0.0
0.18,-2.0,0.0,1.0,0.0
0.185,-2.0,0.0,1.0,0.0
0.19,-2.0,0.0,1.0,0.0
0.195,-2.0,0.0,1.0,0.0
0.2,-2.0,0.0,1.0,0.0
0.20500000000000002,-2.0,0.0,1.0,0.0
0.21,-2.0,0.0,1.0,0.0
0.215,-2.0,0.0,1.0,0.0
0.22,-2.0,0.0,1.0,0.0
0.225,-2.0,0.0,1.0,0.0
0.23,-2.0,0.0,1.0,0.0
0.23500000000000001,-2.0,0.0,1.0,0.0
0.24,-2.0,0.0,1.0,0.0
0.245,-2.0,0.0,1.0,0.0
0.25,-2.0,0.0,1.0,0.0
0.255,-2.0,0.0,1.0,0.0
0.26,-2.0,0.0,1.0,0.0
0.265,-2.0,0.0,1.0,0.0
0.27,-2.0,0.0,1.0,0.0
0.275,-2.0,0.0,1.0,0.0
0.28,-2.0,0.0,1.0,0.0
0.28500000000000003,-2.0,0.0,1.0,0.0
0.29,-2.0,0.0,1.0,0.0
0.295,-2.0,0.0,1.0,0.0
0.3,-2.0,0.0,1.0,0.0
0.305,-2.0,0.0,1.0,0.0
0.31,-2.0,0.0,1.0,0.0
0.315,-2.0,0.0,1.0,0.0
0.32,-2.0,0.0,1.0,0.0
0.325,-2.0,0.0,1.0,0.0
0.33,-2.0,0.0,1.0,0.0
0.335,-2.0,0.0,1.0,0.0
0.34,-2.0,0.0,1.0,0.0
0.34500000000000003,-2.0,0.0,1.0,0.0
0.35000000000000003,-2.0,0.0,1.0,0.0
0.355,-2.0,0.0,1.0,0.0
0.36,-2.0,0.0,1.0,0.0
0.365,-2.0,0.0,1.0,0.0
0.37,-2.0,0.0,1.0,0.0
0.375,-2.0,0.0,1.0,0.0
0.38,-2.0,0.0,1.0,0.0
0.385,-2.0,0.0,1.0,0.0
0.39,-2.0,0.0,1.0,0.0
0.395,-2.0,0.0,1.0,0.0
0.4,-2.0,0.0,1.0,0.0
0.405,-2.0,0.0,1.0,0.0
0.41000000000000003,-2.0,0.0,1.0,0.0
0.41500000000000004,-2.0,0.0,1.0,0.0
0.42,-2.0,0.0,1.0,0.0
0.425,-2.0,0.0,1.0,0.0
0.43,-2.0,0.0,1.0,0.0
0.435,-2.0,0.0,1.0,0.0
0.44,-2.0,0.0,1.0,0.0
0.445,-2.0,0.0,1.0,0.0
0.45,-2.0,0.0,1.0,0.0
0.455,-2.0,0.0,1.0,0.0
0.46,-1.9999967993056924,5.0501033121739736e-05,0.9999991999456562,1.262337700219318e-05
0.465,-2.0,0.0,1.0,0.0
0.47000000000000003,-2.0,0.0,1.0,0.0
0.47500000000000003,-2.0,0.0,1.0,0.0
0.48,-2.0,0.0,1.0,0.0
0.485,-1.999991518160085,8.193683656482864e-05,0.9999978798559891,2.0481156807852794e-05
0.49,-1.9999983996528463,3.574546522559391e-05,0.9999995999728282,8.935034706591237e-06
0.495,-1.999999199826423,2.5288523481022492e-05,0.9999997999864141,6.321188815290602e-06
0.5,-1.9999977595139846,4.227764628860903e-05,0.9999994399619594,1.0567836633756764e-05
0.505,-1.9999998399652845,1.131389978789585e-05,0.9999999599972829,2.8280534784972864e-06
0.51,-1.9999983996528463,3.574546522559391e-05,0.9999995999728282,8.935034706591237e-06
0.515,-1.9999950389238232,6.280378848691945e-05,0.9999987599157671,1.569860753789411e-05
0.52,-2.0,0.0,1.0,0.0
0.525,-2.0,0.0,1.0,0.0
0.53,-2.0,0.0,1.0,0.0
0.535,-1.9999980795834154,3.914934577218302e-05,0.9999995199673938,9.785878040953215e-06
0.54,-1.9999934385766696,7.215383041963635e-05,0.9999983598885953,1.8035769710764414e-05
0.545,-1.9999993598611385,2.2621007500124422e-05,0.9999998399891312,5.654409191098005e-06
0.55,-1.9999975994792694,4.375713191048693e-05,0.9999993999592421,1.093765292502486e-05
0.555,-1.9999983996528463,3.574546522559392e-05,0.9999995999728282,8.935034706591237e-06
0.56,-1.999985596875616,0.00010637313836133132,0.9999963997554531,2.6589321949207764e-05
0.5650000000000001,-1.999994878889108,6.38022906163442e-05,0.99999871991305,1.5948195873776993e-05
0.5700000000000001,-1.9999918382295157,8.03922410318081e-05,0.9999979598614235,2.0095065464291184e-05
0.5750000000000001,-1.9999977595139846,4.227764628860902e-05,0.9999994399619594,1.0567836633756762e-05
0.58,-1.999988157431062,9.661246858185111e-05,0.9999970397989281,2.4149518111467028e-05
0.585,-1.9999899178129312,8.924256660199691e-05,0.9999974798288171,2.2307317162099513e-05
0.59,-1.9999884775004928,9.531729984947463e-05,0.9999971198043625,2.3825774176351318e-05
0.595,-1.9999955190279695,5.970560439556757e-05,0.9999988799239188,1.4924176929453823e-05
0.6,-1.999983516424316,0.00011364583363811095,0.9999958797201297,2.8407224843977222e-05
0.605,-1.9999879973963466,9.72531900226982e-05,0.9999969997962109,2.4309674603349162e-05
0.61,-1.9999878373616313,9.788945618136139e-05,0.9999969597934937,2.446871744065471e-05
0.615,-1.9999919982642311,7.960822319784809e-05,0.9999979998641406,1.9899090212247087e-05
0.62,-1.9999871972227699,0.00010039165332260769,0.999996799782625,2.5094173513436818e-05
0.625,-1.9999761548274086,0.00014426506037167142,0.9999940394878292,3.606206338493344e-05
0.63,-1.9999814359730161,0.00012044438503533822,0.9999953596848062,3.010660943179553e-05
0.635,-1.999974554480255,0.00015008645701109375,0.9999936394368107,3.7517399253681724e-05
0.64,-1.9999673529180628,0.00016693991246152754,0.9999918393145373,4.172999071269221e-05
0.645,-1.999974554480255,0.00015178295140174866,0.9999936394845039,3.79411380157221e-05
0.65,-1.9999723139942396,0.00014622812527729094,0.9999930795299266,3.6551583989369025e-05
0.655,-1.9999708736818012,0.00014984360707398929,0.9999927195054719,3.745531975363091e-05
0.66,-1.9999516695159558,0.00019327039494827764,0.999987919131716,4.831078191507311e-05
0.665,-1.9999455881967714,0.00020951924382734696,0.999986398921153,5.2373149416033184e-05
0.67,-1.999938626817809,0.0002177452319986415,0.9999844387641643,5.576536502020778e-05
0.675,-1.9999638321543245,0.0001816697848590607,0.9999909591355259,4.541283413151765e-05
0.68,-1.9999478286827868,0.00020201072520354462,0.9999869590307336,5.049579550295786e-05
0.685,-1.999950629302229,0.0002087037646011608,0.9999876388503829,5.229975781535385e-05
0.6900000000000001,-1.9999151816008496,0.0002812436993116417,0.9999787978921849,7.030431665006424e-05
0.6950000000000001,-1.9999303049887627,0.00023031258761803072,0.999982398637511,5.860106948715388e-05
0.7000000000000001,-1.9999070198303652,0.0002834351707561589,0.999976757741685,7.085184791506839e-05
0.705,-1.9999132611842652,0.00026128547996614505,0.9999783182292015,6.531336303388669e-05
0.71,-1.9999022988658781,0.0002784721021424323,0.999975477881278,7.007620476198373e-05
0.715,-1.999880454162999,0.0003162898985454531,0.9999699570532202,7.9710008438283e-05
0.72,-1.9998697318609153,0.00032793131381112135,0.9999672368446048,8.29869431001503e-05
0.725,-1.999870051811113,0.00033299751927996627,0.9999675168755484,8.324125738172121e-05
0.73,-1.9998636505178844,0.0003338967031193727,0.9999657566844523,8.406942271474794e-05
0.735,-1.9998742127137128,0.0003451392687934699,0.9999685566958058,8.627789101769006e-05
0.74,-1.99979651587132,0.00039857874210102914,0.9999491150294764,9.969541094984451e-05
0.745,-1.9998040376460227,0.00039559064606550424,0.9999507550454946,9.967693332531922e-05
0.75,-1.9998243621025689,0.0003758391793297732,0.9999557554924529,9.505229689974053e-05
0.755,-1.999799156527587,0.00045230846218737784,0.999949633741312,0.0001134933910494188
0.76,-1.9997852334835025,0.0004310467628352168,0.9999461941157228,0.00010826773013240671
0.765,-1.9997417041363061,0.0004770320195762217,0.999935112611893,0.00012026252789214239
0.77,-1.9996776903932345,0.0004919232300031179,0.9999189110225762,0.00012442718402975666
0.775,-1.9997337026390034,0.0004765231899031239,0.9999327519627231,0.0001208610870177074
0.78,-1.99969769485189,0.0005026197889829089,0.9999237108478596,0.00012780443206191465
0.785,-1.9996624071375326,0.0004983199756120789,0.9999149907443685,0.00012604364509013056
0.79,-1.999623999044308,0.0005595492092304806,0.999905068174699,0.00014234803610397884
0.795,-1.9995687069666817,0.0005717276800855425,0.999891306691514,0.0001450686294063579
0.8,-1.9996126362695101,0.000527363764678529,0.999902428615377,0.0001340827753994756
0.805,-1.999517255555298,0.000603264895045186,0.9998788640579717,0.0001517969114023829
0.81,-1.9994174741129562,0.0006551529524167568,0.9998537398596052,0.00016489390992113353
0.8150000000000001,-1.9995525435319683,0.0006041263960604945,0.9998871455623713,0.0001536092508323373
0.8200000000000001,-1.9995087739300026,0.000618974163640781,0.999876383925276,0.00015698260726491523
0.8250000000000001,-1.9995343002421209,0.0006054884590469643,0.9998805041216831,0.0001597166772839538
0.8300000000000001,-1.9993833075477783,0.0007143475746515389,0.9998439379419463,0.0001829437686393486
