Temp,E_mean,E_std,M_mean,M_std
0.0,-2.0,0.0,1.0,0.0
0.01,-2.0,0.0,1.0,0.0
0.02,-2.0,0.0,1.0,0.0
0.03,-2.0,0.0,1.0,0.0
0.04,-2.0,0.0,1.0,0.0
0.05,-2.0,0.0,1.0,0.0
0.06,-2.0,0.0,1.0,0.0
0.07,-2.0,0.0,1.0,0.0
0.08,-2.0,0.0,1.0,0.0
0.09,-2.0,0.0,1.0,0.0
0.1,-2.0,0.0,1.0,0.0
0.11,-2.0,0.0,1.0,0.0
0.12,-2.0,0.0,1.0,0.0
0.13,-2.0,0.0,1.0,0.0
0.14,-2.0,0.0,1.0,0.0
0.15,-2.0,0.0,1.0,0.0
0.16,-2.0,0.0,1.0,0.0
0.17,-2.0,0.0,1.0,0.0
0.18,-2.0,0.0,1.0,0.0
0.19,-2.0,0.0,1.0,0.0
0.2,-2.0,0.0,1.0,0.0
0.21,-2.0,0.0,1.0,0.0
0.22,-2.0,0.0,1.0,0.0
0.23,-2.0,0.0,1.0,0.0
0.24,-2.0,0.0,1.0,0.0
0.25,-2.0,0.0,1.0,0.0
0.26,-2.0,0.0,1.0,0.0
0.27,-2.0,0.0,1.0,0.0
0.28,-2.0,0.0,1.0,0.0
0.29,-2.0,0.0,1.0,0.0
0.3,-2.0,0.0,1.0,0.0
0.31,-2.0,0.0,1.0,0.0
0.32,-2.0,0.0,1.0,0.0
0.33,-2.0,0.0,1.0,0.0
0.34,-2.0,0.0,1.0,0.0
0.35000000000000003,-2.0,0.0,1.0,0.0
0.36,-2.0,0.0,1.0,0.0
0.37,-2.0,0.0,1.0,0.0
0.38,-2.0,0.0,1.0,0.0
0.39,-2.0,0.0,1.0,0.0
0.4,-2.0,0.0,1.0,0.0
0.41000000000000003,-2.0,0.0,1.0,0.0
0.42,-2.0,0.0,1.0,0.0
0.43,-2.0,0.0,1.0,0.0
0.44,-2.0,0.0,1.0,0.0
0.45,-2.0,0.0,1.0,0.0
0.46,-2.0,0.0,1.0,0.0
0.47000000000000003,-2.0,0.0,1.0,0.0
0.48,-2.0,0.0,1.0,0.0
0.49,-2.0,0.0,1.0,0.0
0.5,-2.0,0.0,1.0,0.0
0.51,-2.0,0.0,1.0,0.0
0.52,-2.0,0.0,1.0,0.0
0.53,-2.0,0.0,1.0,0.0
0.54,-1.9999983996528463,3.574546522559392e-05,0.9999995999728282,8.935034706591237e-06
0.55,-1.9999979195487,4.074384537764528e-05,0.9999994799646765,1.018444354358515e-05
0.56,-1.9999990397917078,2.7699415827044327e-05,0.9999997599836968,6.923822090577687e-06
0.5700000000000001,-1.9999911980906542,8.345162110771452e-05,0.9999977998505547,2.0859796514407854e-05
0.58,-1.999991038055939,8.419833829596766e-05,0.9999977598478375,2.1046447994559043e-05
0.59,-1.9999937586461003,7.038617153109319e-05,0.9999984398940297,1.7593920837939028e-05
0.6,-1.9999833563896006,0.00011418451708977778,0.9999958397174125,2.8541875639711252e-05
0.61,-1.9999815960077316,0.00012099915699086757,0.9999953996756001,3.0245437619387084e-05
0.62,-1.9999890377054599,9.916630267415192e-05,0.9999971196970526,2.667852133013963e-05
0.63,-1.9999854368409007,0.00011048447189786823,0.999996359716966,2.761751551308809e-05
0.64,-1.999971513987589,0.00015766467375620638,0.999992599258854,4.1776839263084486e-05
0.65,-1.9999651124320477,0.00017178487444279426,0.9999912792764967,4.294101428012236e-05
0.66,-1.9999478287066335,0.00021356357621573463,0.9999869187895501,5.3637150302409646e-05
0.67,-1.9999386267224224,0.00022892425315817745,0.9999845986557999,5.778253981917459e-05
0.68,-1.9999287845516567,0.00023061219048258193,0.9999821987312348,5.7644852041742024e-05
0.6900000000000001,-1.9999229434395485,0.0002476078355387345,0.999980478316313,6.326854445716074e-05
0.7000000000000001,-1.999901418615327,0.0003002416750254617,0.9999753575392737,7.505342374223526e-05
0.71,-1.9998812542411895,0.0003077740946815947,0.9999703174353742,7.693482225318226e-05
0.72,-1.999858529478532,0.0003283650187624002,0.9999643567920471,8.314845837495703e-05
0.73,-1.9998268426764272,0.00039258492918241425,0.9999563150893309,9.958160550769419e-05
0.74,-1.999868931591952,0.00032525954573217754,0.999967197199587,8.146162600825439e-05
0.75,-1.9997498658829438,0.0004600790264172626,0.9999372328155206,0.00011560982265359314
0.76,-1.9998426859940164,0.000335505778638852,0.9999604767073296,8.460399681344407e-05
0.77,-1.999780672601424,0.0004464805386281559,0.9999448334867894,0.00011266785243761213
0.78,-1.9997130577791737,0.0004805094709921056,0.9999282319776104,0.00012021137034418604
0.79,-1.9996342407176197,0.0005358043921553493,0.9999084687275895,0.0001342556216133959
0.8,-1.9996083958861017,0.0005414319816931348,0.9999007079977588,0.00013798465592771285
0.81,-1.99963560133463,0.0005567224311638282,0.9999082683086109,0.00014089807173393192
0.8200000000000001,-1.9995185360714873,0.0006229605849647001,0.9998787838259944,0.0001574268930620809
0.8300000000000001,-1.9995390204673624,0.0006201580163214899,0.9998839844057716,0.00015677062358862145
0.84,-1.9993861876003358,0.0006947864220068708,0.999845218660832,0.0001768889987791518
0.85,-1.9993133727110106,0.000804464742528381,0.9998265738772449,0.00020432874965553083
0.86,-1.9991731028433775,0.0008091483618692049,0.9997898867116448,0.00020733087693908928
0.87,-1.9990904443047957,0.0008458295310561802,0.9997696033428373,0.00021765492178109832
0.88,-1.999072441055098,0.0008878780412208594,0.999765362089027,0.0002266146046431241
0.89,-1.9989440930702849,0.0009258622083089568,0.9997333958044508,0.00023633754879213994
0.9,-1.9988057449546475,0.0010369219229403725,0.9996983886337395,0.00026326115314354487
0.91,-1.9987389299482745,0.0009872328030729718,0.9996821055724207,0.00025141926777275244
0.92,-1.998669717998165,0.0011009200967833674,0.9996615804822762,0.00028407676893733646
0.93,-1.9983846169277344,0.001111173486786398,0.9995922463301254,0.00028356015135025473
0.9400000000000001,-1.9982546709088904,0.0012247566329699922,0.9995565984959267,0.0003159537958869189
0.9500000000000001,-1.9981064835556221,0.001272661952264217,0.9995189903855062,0.00032562222591419585
0.96,-1.9980530297667962,0.001185806903725639,0.9995059072196328,0.0003049997352137379
0.97,-1.9977468898187138,0.0013250352456228905,0.9994279304893762,0.00033995115211378957
0.98,-1.9974235492984065,0.0014105192630987989,0.9993417924417213,0.0003655283736959368
0.99,-1.9972019856585148,0.001415956861839333,0.999287500336638,0.00036732571893710337
1.0,-1.9968976077854121,0.0015988478472121607,0.9992093637266691,0.0004135882608754804
1.01,-1.996892245752045,0.0016577655224080399,0.9992059634837849,0.0004352276082830875
1.02,-1.9964940127765542,0.001735134173032556,0.9991039015646338,0.00045020369892285745
1.03,-1.996113216931831,0.0017651051748270889,0.999005400710021,0.00046098259254632155
1.04,-1.9959975136688028,0.0019319844090847998,0.9989801551442452,0.0005000434603863972
1.05,-1.9955465481457269,0.0019193720199637825,0.9988562898007267,0.0005054086761166575
1.06,-1.9953207450285986,0.0019076877159007132,0.9987998385385505,0.0004997955248981239
1.07,-1.9944391292818882,0.0020766730094461737,0.9985655915334144,0.000547119196204689
1.08,-1.994441770081235,0.0021731652261019383,0.9985757929297728,0.0005680830087552748
1.09,-1.9942421302196383,0.002159062467481031,0.9985151003064764,0.0005637805942397084
1.1,-1.9935956824705776,0.00230232475301991,0.9983576292823758,0.0006091546799425721
1.11,-1.9933749960050222,0.002353682171435066,0.9982957766279742,0.0006183645322441205
1.12,-1.9926729345827203,0.0024721329687378414,0.9980973378375283,0.0006602637754932752
1.1300000000000001,-1.9923969583526615,0.002525594330733057,0.9980292456058006,0.0006758414785141731
